0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 51746890
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 51025994
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 50632778
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 50436170
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 49911882
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 49518666
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 49059914
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 48830538
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 48011338
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 47454282
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 46897226
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 46045258
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 45062218
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 45062218
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 44669002
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 44439626
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 43653194
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 43259978
